time_s,npv,P0,nqv,Q0,V0
3960,1.19,53.15,1.27,68.74,230.42
3975,0.76,54.57,1.04,70.2,230.4
3990,0.78,54.17,1.08,69.63,230.32
4005,1.08,53.13,1.27,68.37,230.2
4020,0.42,53.38,0.79,69.58,230.6
4035,0.98,54.58,1.07,70.65,230.61
4050,0.59,54.19,1.14,69.85,230.2
4065,0.66,53.05,1.0,68.78,230.24
4080,0.83,54.11,1.27,70.29,230.68
4095,1.26,52.9,1.27,69.53,230.71
4110,0.97,52.9,1.02,68.93,230.62
4125,1.13,53.6,1.24,69.01,230.23
4140,0.63,54.48,1.0,70.37,230.31
4155,0.77,52.43,1.07,68.51,230.54
4170,0.77,53.43,1.12,69.5,230.7
4185,0.69,52.65,1.02,68.83,230.69
4200,0.94,54.45,1.2,70.29,230.57
4215,1.03,52.94,1.21,68.34,230.27
4230,0.9,53.65,1.13,69.28,230.28
4245,0.81,52.17,1.29,68.33,230.59
4260,1.09,53.43,1.12,69.95,230.71
4275,0.69,52.18,0.96,68.72,230.71
4290,1.22,51.91,1.31,68.11,230.71
4305,0.83,51.92,1.07,67.68,230.68
4320,0.81,51.78,1.14,67.96,230.72
4335,1.0,52.98,1.23,69.05,230.54
4350,0.64,51.83,1.06,67.82,230.49
4365,0.72,51.39,1.11,67.33,230.69
4380,1.11,53.49,1.28,69.57,230.69
4395,1.11,52.2,1.28,67.79,230.43
